,,,1월,,2월,,3월,,4월,,5월,,6월,,7월,,8월,,9월,,10월,,11월,,12월,
,,,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019
전체 방한 외래관광객 수,,,"1,272,708","1,104,803","685,212","1,201,802","83,497","1,535,641","29,415","1,635,066","30,806","1,485,684","36,938","1,476,218","61,012","1,448,067","68,797","1,586,299","65,040","1,459,664","61,585","1,656,195","61,764","1,456,429","62,344","1,456,888"
전체 국민 해외관광객 수,,,"2,513,030","2,912,331","1,046,779","2,617,946","143,366","2,334,153","31,425","2,246,417","37,802","2,401,204","48,353","2,495,798","65,936","2,642,585","88,888","2,427,634","76,798","2,049,830","71,970","2,153,847","70,686","2,090,192","80,973","2,342,310"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
